TokenID,Target,AktAcc,AktAch,AktAct,AktState,ASTrns,ASUncc,ASUnrg,ClCntfcl,ClNegPol,DtExp,DtRes,DtUniv,TLAspPfv,TLMdIrr,TLTS,VcPass
40024043a,had known,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0
40024043b,would have watched,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0
40024043c,would not have been vandalized,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,1
40025021,have been faithful,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
40025027a,should have put,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
40025027b,should have received,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,0
40026001,had finished talking,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0
40026009,could have been sold,0,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1
40026024a,would have been better,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0
40026024b,had not been born,0,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1
40026047,had sent,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0
40026056,has taken place,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
40026065,have heard,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
40027004,have done wrong,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
40027019,have had much trouble,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
40027023,have done evil,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
40027026,had (Jesus) whipped,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
40027046,have foresaken,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
40027060,had cut out of,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0
40028005,has been impaled,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
40028006,has risen,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
40028007a,has risen (from the dead),0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
40028007b,have told,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
40028018,has been given,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1
40028020,have commanded,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
41001015,has come,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
41001024,have come (to destroy),0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
41002012,have never seen,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
41002017,have come,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
41003021,has lost,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
41003026,has risen up,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
41004015a,have heard,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
41004015b,has been sown,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1
41004016,have heard,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0
41004018,have heard,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0
