verse_id,english_text
1028006,esau find out that -pron- father isaac have bless jacob and have warn -pron- not to marry any of the canaanite woman . -pron- also learn that jacob have be send to find a wife in northern syria .
1029032,"leah become pregnant and give birth to a son . -pron- name -pron- reuben , because -pron- say : » certainly , jehovah have see -pron- misery . now -pron- husband will love -pron- ! «"
1029033,"-pron- become pregnant again and give birth to another son . -pron- say : » certainly , jehovah have hear that -pron- be unloved . -pron- have also give -pron- this son . « -pron- name -pron- simeon ."
1029034,-pron- become pregnant again and give birth to another son . -pron- say : » now at last -pron- husband will become attached to -pron- because -pron- have give -pron- three son . « -pron- name -pron- levi .
1030020,"leah say : » god have present -pron- with a wonderful gift . this time -pron- husband will honor -pron- , because -pron- have give -pron- six son . « so -pron- name -pron- zebulun ."
1030027,"but laban say : » if now -pron- please -pron- , stay with -pron- . -pron- have observe that jehovah have bless -pron- on -pron- account . «"
1030029,jacob respond : » -pron- know how much work -pron- have do for -pron- and what have happen to -pron- livestock under -pron- care .
1030030,» the little that -pron- have before -pron- come have grow to a large amount . jehovah have bless -pron- wherever -pron- have be . when may -pron- do something for -pron- own family ? «
1030034,laban answer : » -pron- agree ; -pron- will do as -pron- have say . «
1031005,-pron- say to -pron- : » -pron- have see that -pron- father 's attitude toward -pron- be not as friendly as before . the god of -pron- father have be with -pron- .
1031012,"» -pron- say , ' look up and see , now please , that all the male goat that be mat be strip , speckle , or spot , because -pron- have see everything that laban be do to -pron- ."
1031018,-pron- drive all -pron- livestock ahead of -pron- . -pron- take all the possession that -pron- have accumulate . -pron- take -pron- own livestock that -pron- have accumulate in paddan - aram and go back to -pron- father isaac in canaan .
1031027,"» why do -pron- deceive -pron- and slip away without tell -pron- ? if -pron- have tell -pron- , -pron- would have send -pron- on -pron- way with rejoicing and sing to the music of tambourine and harp ."
1031038,» -pron- have be with -pron- now for twenty year . -pron- sheep and -pron- goat have not fail to reproduce . -pron- have not even eat any ram from -pron- flock .
1031041,» -pron- have be in -pron- house twenty year ! -pron- be -pron- servant for fourteen year because of -pron- daughter . -pron- keep -pron- flock for six year . -pron- change -pron- wage ten time .
1031042,"» if the god of -pron- father , the god of abraham , out of respect for isaac , have not be with -pron- , -pron- would have send -pron- away empty - handed by now . god have see -pron- misery and hard work . last night -pron- make -pron- right ! «"
1031051,laban also say to jacob : » here be the pile of stone . here be the marker that -pron- have set up between -pron- and -pron- .
1032010,» -pron- be less than nothing in comparison with all -pron- love and -pron- faithfulness to -pron- -pron- servant . -pron- only have a stick in -pron- hand when -pron- travel across jordan . now -pron- have become two army .
1032013,jacob stay there that night . then -pron- prepare a gift for -pron- brother esau from what -pron- have bring with -pron- :
1032026,"-pron- say to -pron- : » let -pron- go now , for the dawn be near . « but jacob say : » -pron- will not let -pron- go till -pron- have give -pron- -pron- blessing . «"
1032030,"jacob name that place peniel face of god , because -pron- say : » -pron- have see god face to face , yet -pron- life be save . «"
1033005,esau look around and see the woman and the child . -pron- ask : » who be these people with -pron- ? « jacob answer : » these be the child whom god have be good enough to give -pron- . «
1035003,"» after that let -pron- go to bethel . -pron- will make an altar there to god , who answer -pron- when -pron- be trouble and who have be with -pron- wherever -pron- have go . «"
1035013,then god go up from -pron- at the place where -pron- have speak with -pron- .
1035014,"so jacob set up a memorial , a stone marker , to mark the place where god have speak with -pron- . -pron- pour a wine offering and olive oil on -pron- ."
1035015,jacob name the place where god have speak with -pron- bethel house of god .
1037003,jacob israel love joseph more than all -pron- son because joseph have be bear in israel 's old age . so -pron- make joseph a special multicolored robe with long sleeve .
1038021,-pron- ask the man : » where be the temple prostitute who be by the road at enaim ? « -pron- say : » there have be no temple prostitute here . «
1038029,"when -pron- draw back -pron- hand , -pron- brother come out . -pron- say : » so this be how -pron- have break out ! « -pron- be name perez ."
1039001,"joseph have be take to egypt . potiphar , one of pharaoh 's egyptian official and captain of the guard , buy -pron- from the ishmaelites who have take -pron- there ."
1039008,"-pron- refuse , and say to -pron- : » -pron- master do not have to concern -pron- with anything in the house , because -pron- be here . -pron- have put -pron- in charge of everything -pron- have ."
1039013,"when -pron- realize that -pron- have go but have leave -pron- coat behind ,"
1040004,"the captain of the guard assign -pron- to joseph . -pron- take care of -pron- . after -pron- have be confine for some time ,"
1040015,» -pron- be in fact kidnap from the land of the hebrews . and here -pron- have do nothing that -pron- should have put -pron- into the dungeon . «
1040016,"when the chief baker see that -pron- have interpret favorably , -pron- say to joseph : » -pron- also see in -pron- dream three basket of white bread on -pron- head ."
1040022,"-pron- do indeed hang the chief baker , just as joseph have interpret to -pron- ."
1041021,"» even though -pron- have eat the fat cow , no one could tell -pron- have eat -pron- . -pron- look just as sick as before . then -pron- wake up ."
1041043,-pron- have -pron- ride in -pron- second chariot . -pron- proclaim before -pron- : » bow the knee ! « thus -pron- set -pron- over all the land of egypt .
1041054,"the seven year of famine begin , just as joseph have say . there be famine in every other country , but there be food throughout egypt ."
1042002,"-pron- say : » -pron- have hear that there be grain in egypt . go down there and buy some for -pron- from that place , so that -pron- may live and not die . «"
1042009,-pron- remember the dream -pron- have dream about -pron- and say : » -pron- be spy ! -pron- have come to find out where -pron- country be weak . «
1042010,"» no ! « -pron- answer . » -pron- have come as -pron- slave , to buy food ."
1042012,joseph say to -pron- : » no ! -pron- have come to find out where -pron- country be weak . «
1042021,"-pron- say to one another : » truly -pron- be guilty concern -pron- brother , because -pron- see -pron- distress when -pron- plead with -pron- , yet -pron- would not listen . therefore this distress have come upon -pron- . «"
1042028,-pron- say to -pron- brother : » -pron- money have be put back ! -pron- be right here in -pron- sack ! « -pron- want to die . -pron- tremble and turn to each other and ask : » what have god do to -pron- ? «
1043023,"» -pron- be all right , « the servant reply . » do not worry . the god -pron- and -pron- father worship must have put the money there , because -pron- money come first to -pron- . « then -pron- bring simeon out to -pron- ."
1043025,the brother prepare -pron- gift so -pron- could give -pron- to joseph at noon . for -pron- have hear -pron- be go to eat there .
1043026,joseph come home and -pron- give -pron- the gift -pron- have bring . -pron- bow down to -pron- .
1044010,» good ! « the man reply . » -pron- would do what -pron- have say . but only the one who have the cup will become -pron- slave . the rest of -pron- can go free . «
1044016,"» sir , what can -pron- say ? « judah reply . » how can -pron- prove -pron- be innocent ? god have show that -pron- be guilty . and now all of -pron- be -pron- slave , especially the one who have the cup . «"
1045008,"» -pron- be not -pron- who send -pron- here , but god . -pron- have make -pron- like a father to pharaoh . -pron- make -pron- lord over -pron- entire household , and ruler of egypt ."
1045013,» -pron- must tell -pron- father of -pron- entire splendor in egypt . tell -pron- all that -pron- have see . hurry and bring -pron- father down here . «
1045016,"when the news reach the palace that joseph 's brother have come , the king and -pron- official be pleased ."
1045027,"then -pron- tell -pron- everything joseph say . when -pron- see the wagon joseph have send , -pron- feel much good ."
1046005,"jacob leave beer - sheba . israel 's son put -pron- father jacob , -pron- child , and -pron- wife in the wagon pharaoh have send to bring -pron- back ."
1046030,jacob say to joseph : » now -pron- be ready to die . now that -pron- have see -pron- and know that -pron- be still alive . «
1046031,"joseph say to -pron- brother and the rest of -pron- father 's family : » -pron- must go and tell the king that -pron- brother and all -pron- father 's family , who be live in canaan , have come to -pron- ."
1047001,"joseph take five of -pron- brother and go to the king . -pron- tell -pron- : » -pron- father and -pron- brother have come from canaan with -pron- flock , -pron- herd , and all that -pron- own . -pron- be now in the region of goshen . «"
1047004,» -pron- have come to live in this country . the famine be so severe in the land of canaan that there be no pasture for -pron- flock . please give -pron- permission to live in the region of goshen . «
1047009,"jacob answer : » -pron- life of wandering have last a hundred and thirty year . those year have be few and difficult , unlike the long year of -pron- ancestor in -pron- wandering . «"
1047025,-pron- answer : » -pron- have save -pron- life . -pron- have be good to -pron- . -pron- will be the king 's slave . «
1048002,jacob be tell that -pron- son joseph have come to see -pron- . -pron- gather -pron- strength and sit up in bed .
1048015,"jacob bless joseph . -pron- say : » may god , in whose presence -pron- grandfather abraham and -pron- father isaac walk , may this god who have be -pron- shepherd all -pron- life to this very day ,"
1048017,joseph see that -pron- father have put -pron- right hand on ephraim 's head . joseph do not like -pron- . so -pron- take -pron- father 's hand in order to move -pron- from ephraim 's head to manasseh 's .
2002011,"after moses have grow up , -pron- go out to where -pron- own people -pron- brother be hard at work . -pron- see an egyptian beat one of -pron- ."
2002014,the man reply : » who make -pron- a prince or a judge over -pron- ? be -pron- intend to kill -pron- as -pron- kill the egyptian ? « moses be afraid and say : » surely the matter have become know . «
2002018,"when -pron- return to reuel -pron- father , -pron- say , » why have -pron- come back so soon today ? «"
2003007,jehovah say : » -pron- have see how -pron- people be suffer as slave in egypt . -pron- have hear -pron- beg for -pron- help because of the way -pron- be be mistreat . -pron- feel sorry for -pron- .
2003008,"» -pron- have come down to rescue -pron- from the egyptians . -pron- will bring -pron- people out of egypt into a country where there be good land , rich with milk and honey . -pron- will give -pron- the land where the canaanites , hittites , amorites , perizzites , hivites , and jebusites now live ."
2003009,» -pron- people have beg for -pron- help . -pron- have see how cruel the egyptians be to -pron- .
2003012,"god say : » -pron- will be with -pron- ! this shall be the sign to -pron- that -pron- be -pron- who have send -pron- : when -pron- have bring the people out of egypt , -pron- shall worship god at this mountain . «"
2003013,"then moses say to god : » behold , -pron- be go to the son of israel . -pron- will say to -pron- : ' the god of -pron- father have send -pron- to -pron- . ' ' now -pron- may ask -pron- : ' what be -pron- name ? '' what shall -pron- say to -pron- ? ' «"
2003014,"god then say to moses : » -pron- exist and -pron- will be who -pron- will be . « -pron- shall say to the son of israel : » -pron- will be , have send -pron- to -pron- . ' « hebrew : hayah , » -pron- be , -pron- be , -pron- will be « give evidence of god 's eternal existence"
2003015,"god , further say to moses : » -pron- shall say to the son of israel : ' jehovah , the god of -pron- father , the god of abraham , the god of isaac , and the god of jacob , have send -pron- to -pron- . '' jehovah this be my name forever ! this be -pron- memorial - name to all generation ."
2004010,"moses say : » o jehovah -pron- be not a man of word . -pron- have never be so , and be not now , even after what -pron- have say to -pron- servant . talk be hard for -pron- , and -pron- be slow of tongue . «"
2004021,jehovah say to moses : » when -pron- go back to egypt see that -pron- perform before pharaoh all the wonder that -pron- have put in -pron- power . -pron- will harden -pron- heart so that -pron- will not let the people go . «
2004031,"the people believe -pron- . when -pron- hear that jehovah be concern about the people of israel and that -pron- have see -pron- misery , -pron- knelt , bow low and worship ."
2005021,-pron- say : » may jehovah see what -pron- have do and judge -pron- ! -pron- have make pharaoh and -pron- official hate -pron- . -pron- have give -pron- an excuse to kill -pron- . «
2005023,"» ever since -pron- go to pharaoh to speak for -pron- , -pron- have treat -pron- people cruelly , and -pron- have do nothing at all to rescue -pron- people . «"
2006005,» furthermore -pron- have hear the groaning of the son of israel . this be because the egyptians be hold -pron- in bondage . -pron- have remember -pron- covenant .
2007009,» pharaoh will say : ' give -pron- a sign to prove that god have send -pron- . '' tell aaron : ' take -pron- shepherd 's staff and throw -pron- down in front of pharaoh . -pron- will become a large snake . '
2007013,"pharaoh continue to be stubborn . just as jehovah have predict , -pron- would not listen to -pron- ."
2008012,moses and aaron leave the palace . moses beg jehovah to do something about the frog -pron- have send as punishment for the king .
2008015,"the king see that the frog be dead . -pron- become stubborn again and , just as jehovah have say , the king would not listen to moses and aaron ."
2009006,the next day jehovah do as -pron- have say . the egyptian 's animal all die . not one of the animal of the israelites die .
2009007,the king ask what have happen . -pron- be tell that none of the animal of the israelites have die . -pron- be stubborn and would not let the people go .
2009016,"» -pron- have allow -pron- to remain , in order to show -pron- -pron- power and in order to proclaim -pron- name through all the earth ."
2009018,"» at this time tomorrow , -pron- will send a very heavy hail , such as have not be see in egypt from the day -pron- be found until now ."
2009024,"-pron- hail , and lightning flash while -pron- hail . this be the bad storm in all the land of egypt since -pron- have become a nation ."
2009028,» pray to jehovah ! -pron- have have enough of this thunder and hail ! -pron- promise to let -pron- go . -pron- do not have to stay here any longer . «
2010002,» -pron- do this because -pron- want -pron- to tell -pron- child and -pron- grandchild about the mighty thing and the sign -pron- have do in egypt . then all of -pron- will know that -pron- be jehovah . «
2010006,"» ' -pron- house shall be fill and the house of all -pron- servant and the house of all the egyptians . this be something neither -pron- father nor -pron- grandfather have see , from the day that -pron- come upon the earth until this day . -pron- turn and go out from pharaoh . ' «"
2010029,» -pron- have speak -pron- ! « moses answer . » -pron- will never see -pron- again . «
2011004,"moses approach the king . -pron- say : » -pron- have come to let -pron- know what jehovah be go to do . about midnight -pron- will go through the land of egypt ,"
2012028,then the son of israel do just as jehovah have command moses and aaron .
2012039,"with the dough -pron- have bring from egypt , -pron- bake round , flat bread . the dough have not rise because -pron- have be throw out of egypt and have no time to prepare food for the trip ."
2012040,the israelites have be live in egypt for four hundred and thirty year .
2012050,all the israelites obey . -pron- do what jehovah have command moses and aaron .
2014005,"the king of egypt be tell that the people have escape . -pron- and -pron- official change -pron- mind and say : » what have -pron- do ? -pron- have let the israelites escape , and -pron- have lose -pron- as -pron- slave ! «"
2014013,"but moses say to the people : » do not fear ! stand by and see the salvation of jehovah . -pron- will accomplish this for -pron- today . the egyptians whom -pron- have see today , -pron- will never see -pron- again forever ."
2014019,"the angel of god , who have be go before the camp of israel , move and go behind -pron- . the pillar of cloud move from before -pron- and stand behind -pron- ."
2015001,"moses and the israelites sing this song to jehovah : » -pron- will sing to jehovah , because -pron- have win a glorious victory . -pron- have throw the horse and -pron- rider into the sea ."
2015002,"» jehovah be -pron- strong defender . -pron- be the one who have save -pron- . -pron- be -pron- god , and -pron- will praise -pron- , -pron- father 's god , and -pron- will sing about -pron- greatness ."
2015019,"when pharaoh 's horse , chariot , and cavalry go into the sea , jehovah make the water of the sea flow back over -pron- . the israelites have go through the sea on dry ground ."
2015021,miriam sing to -pron- : » sing to jehovah . -pron- have win a glorious victory . -pron- have throw horse and -pron- rider into the sea . «
2016009,moses say to aaron : » say to all the congregation of the son of israel : ' come near before jehovah for -pron- have hear -pron- complaint . ' «
2016012,» -pron- have hear -pron- people complain . -pron- say to -pron- : ' each evening -pron- will have meat and each morning -pron- will have more than enough bread . '' then -pron- will know that -pron- be jehovah -pron- god . ' «
2016023,"moses say : » jehovah have command that tomorrow be a holy day of rest , dedicate to god . bake today what -pron- want to bake and boil what -pron- want to boil . whatev be leave should be put aside and keep for tomorrow . «"
2019008,all the people answer together : » -pron- will do everything jehovah have say . « so moses bring -pron- answer back to jehovah .
2020020,"moses respond : » do not be afraid . god have only come to test -pron- and to inspire -pron- to obey -pron- , so that -pron- will not sin . «"
2020022,jehovah command moses to tell the israelites : » -pron- have see how -pron- have speak to -pron- from heaven .
2021008,"» if -pron- do not please the master who have choose -pron- as a wife , -pron- must let -pron- be buy back by one of -pron- close relative . -pron- have no right to sell -pron- to foreigner , since -pron- have treat -pron- unfairly ."
2021013,"» if -pron- do not intend to kill someone and -pron- , jehovah , let -pron- happen anyway , -pron- may run for safety to a place that -pron- have set aside ."
2021016,» whoever kidnap another person must be put to death regardless of whether -pron- have sell the kidnap person or still have -pron- .
2021029,"» if an ox be previously in the habit of goring and -pron- owner have be warn , yet -pron- do not confine -pron- and -pron- kill a man or a woman , the ox shall be stone and -pron- owner also shall be put to death ."
2022003,"» but if -pron- happen after sunrise , -pron- be guilty of murder . a thief must make up for what -pron- have steal . if -pron- be unable to do so , -pron- should be sell as a slave to pay for what -pron- steal ."
2025020,"» the cherubim shall have -pron- wing spread upward , cover the chest with -pron- wing and face one another . the face of the cherubim be to be turn toward the chest ."
2026014,» make a cover of ram ' skin that have be dye red for the outer tent . place a cover make of fine leather over that .
2029023,"» from the basket of bread which have be offer to -pron- , take one loaf of each kind : one loaf make with olive oil and one make without -pron- and one thin cake ."
2032002,"aaron reply : » have -pron- wife , son , and daughter take off the gold earring -pron- be wear . bring -pron- to -pron- . «"
2032009,jehovah add : » -pron- have see these people . -pron- have an iron sinew stiff necked people be impossible to deal with .
2032025,moses see that the people be naked . aaron have make -pron- naked to -pron- shame among -pron- enemy .
2032032,"» will -pron- forgive -pron- sin ? if not , please wipe -pron- out of the book -pron- have write . «"
2033004,the people hear this bad news and act as if someone have die . no one wear any jewelry .
2033012,"moses say to jehovah : » -pron- be true that -pron- have tell -pron- to lead these people to that land , but -pron- do not tell -pron- whom -pron- would send with -pron- . -pron- say that -pron- know -pron- well and be pleased with -pron- ."
2033013,"if -pron- be , tell -pron- -pron- plan , so that -pron- may serve -pron- and continue to please -pron- . remember also that -pron- have choose this nation to be -pron- own . «"
2033017,jehovah say to moses : » -pron- will do this thing of which -pron- have speak . -pron- have find favor in -pron- sight . -pron- have know -pron- by name .
2033022,"» when -pron- glory pass by , -pron- will put -pron- in a crevice in the cliff and cover -pron- with -pron- hand until -pron- have pass by ."
2036019,"-pron- make a cover out of ram ' skin that have be dye red for the outer tent , and over that -pron- put a cover make of fine leather ."
2038012,the west side be seventy - five foot long . -pron- have curtain hang on ten post set in ten base . the hook and band on the post be make of silver .
3004014,» when the sin -pron- have commit become know the assembly shall offer a bull of the herd . this be for a sin offering . bring -pron- before the tent of meeting .
