TokenID,Target,DtExp,DtRes,DtUniv,DtDTAM,TLTS,TLAspPfv,TLMdIrr,ClNegPol,ClIntgv,ClCntfcl,VcPass,ASTrns,ASUnrg,ASUncc,AktState,AktAct,AktAcc,AktAch,AktSemel,eng_gram,cmn_gram,deu_gram,jpn_gram,metadata
40017009,has risen from the dead,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"present, participle",nullmarked,"partizip, werden, sein, indikativ, prasens",,
40017012,has come,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"present, participle","yijing, le","partizip, sein, indikativ, prasens",,
40018012,has gone wandering,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"present, participle, progressive",le,"prasens, indikativ",,Note: wandering is interpreted as a gerund with go (away) as the target verb in the predicate
40018013a,would have (been filled with joy),0,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,0,1,0,"would, participle",nullmarked,"prasens, indikativ",,"DTAM: ""when he finds it..."""
40018013b,had stayed,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,"past, participle",meiyou,n_a,,
40018015,have gained back,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",nullmarked,"partizip, haben, indikativ, prasens",,
40018031,had been done,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,1,0,"past, participle",n_a,"partizip, prat, sein, indikativ",,"Ambiguous: EXP/RES, ACC/ACH"
40019006,has joined together,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",suo_de,"partizip, haben, indikativ, prasens",,
40019011,has given,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",nullmarked,"partizip, sein, indikativ, prasens",,
40019012,have made (themselves without sex),0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",nullmarked,"partizip, haben, indikativ, prasens",,
40019020,have done (all these things),0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"present, participle",le,"partizip, haben, indikativ, prasens",,Ambiguous: EXP/RES (leans RES)
40019027,have given up,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",yijing,"partizip, haben, indikativ, prasens",,
40019028,have come,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"present, participle",nullmarked,"partizip, sein, indikativ, prasens",,"Textual note: come after in this context conveys follow (a teacher, etc.), rather than a motion/change of location event"
40019029,has given up,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",nullmarked,"partizip, haben, indikativ, prasens",,
40020007,has given work,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,"present, participle",nullmarked,"partizip, haben, indikativ, prasens",,
40020012a,have done (work),0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"present, participle",le,"partizip, haben, indikativ, prasens",,
40020012b,have made (them) equal,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",nullmarked,"partizip, haben, indikativ, prasens",,
40020012c,have undergone (the hard work...),0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,"present, participle",nullmarked,"partizip, haben, indikativ, prasens",,
40020023,has been prepared,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,"present, participle",nullmarked,"indikativ, partizip, prasens, sein, werden",,
40021016,have made (your praise complete),0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"present, participle","le, compound","partizip, haben, indikativ, prasens",,
40021042a,have read,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,"present, participle",guo,"partizip, haben, indikativ, prasens",,
40021042b,has been made (chief cornerstone...),0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,"present, participle",le,"partizip, werden, sein, indikativ, prasens",,
40022004,have prepared,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"present, participle","yijing, le","partizip, haben, indikativ, prasens",,
40022031,have read,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,"present, participle",guo,"partizip, haben, indikativ, prasens",,
40022034,had put to silence,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"past, participle",nullmarked,"haben, prat, partizip, indikativ",,
40023023,have left undone,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,"present, participle",nullmarked,"haben, partizip, indikativ, prasens",,
40023030,would not have been involved,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,"would, participle",nullmarked,n_a,,
40024043a,had known,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,"past, participle",nullmarked,"konj2, prat",,
40024043b,would have watched,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,"would, participle",nullmarked,"konj2, werden, prat",,
40024043c,would not have been vandalized,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,"would, participle",nullmarked,"werden, konj2, prat",,
40025021,have been faithful,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"present, participle",nullmarked,"partizip, sein, indikativ, prasens",,
40025027a,should have put,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,"should, participle",n_a,"haben, sollen, konj2, prat",,
40025027b,should have received,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,"should, participle",n_a,"haben, prat, konj2",,
40026001,had finished talking,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,"past, participle","le, compound","partizip, haben, prat, indikativ",,
40026009,could have been sold,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,"could, participle",n_a,,,split token
40026024a,would have been better,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,"would, participle",nullmarked,"sein, konj2, prat",,
40026024b,had not been born,0,1,0,0,1,1,1,1,0,1,1,1,0,0,0,0,0,1,0,"past, participle",meiyou,"konj2, prat, sein, partizip",,
40026047,had sent,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"past, participle",nullmarked,n_a,,
40026056,has taken place,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"present, participle",nullmarked,"sein, partizip, indikativ, prasens",,
40026065,have heard,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle","le, compound","partizip, haben, indikativ, prasens",,
40027004,have done wrong,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",le,"partizip, haben, indikativ, prasens",,
40027019,have had much trouble,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"present, participle",le,"partizip, haben, indikativ, prasens",,
40027023,have done evil,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,"present, participle",le,"partizip, haben, indikativ, prasens",,
40027046,have foresaken,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,"present, participle",nullmarked,"haben, partizip, indikativ, prasens",,
40027060,had cut out of,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"past, participle",nullmarked,"partizip, prat, indikativ, haben",,
40028005,has been impaled,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,"present, participle",compound,n_a,,
40028006,has risen,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"present, participle",le,"partizip, werden, sein, indikativ, prasens",,
40028007a,has risen (from the dead),0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"present, participle","yijing, le","partizip, werden, sein, indikativ, prasens",,
40028007b,have told,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle","yijing, le","partizip, haben, indikativ, prasens",,
40028018,has been given,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,"present, participle",le,"sein, partizip, indikativ, prasens",,
40028020,have commanded,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",nullmarked,"partizip, haben, indikativ, prasens",,
41001015,has come,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"present, participle",le,"partizip, sein, indikativ, prasens",,
41001024,have come (to destroy),0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"present, participle",n_a,"partizip, sein, indikativ, prasens",,
41002012,have never seen,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,"present, participle","meiyou, guo","partizip, haben, indikativ, prasens",,
41002017,have come,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"present, participle",nullmarked,"sein, partizip, indikativ, prasens",,
41003021,has lost,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",le,n_a,,"Evid: quoted speech, may be considered evidential in some langs"
41003026,has risen up,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"present, participle",nullmarked,"partizip, sein, indikativ, prasens",,
41004015a,have heard,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",le,"haben, partizip, indikativ, prasens",,
41004015b,has been sown,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,"present, participle",nullmarked,"werden, prasens, partizip, indikativ, sein",,
41004016,have heard,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",le,"haben, partizip, prasens, indikativ",,
41004018,have heard,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",le,"haben, partizip, prasens, indikativ",,
41004029,has come,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"present, participle",le,n_a,,
41005014,had taken place,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"past, participle",le,"partizip, prat, sein, indikativ",,
41005015,had been (demon) possessed,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"past, participle",guo,n_a,,
41005018,had been (demon) possessed,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"past, participle",guo,"prat, sein, partizip, indikativ",,
41005020,had done,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"past, participle",suo_de,"partizip, haben, indikativ, prat",,
41005032,had done,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,"past, participle",nullmarked,"partizip, haben, indikativ, prat",,
41005034,has made whole,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",le,"partizip, haben, indikativ, prasens",,
41006014a,had become well known,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"past, participle",nullmarked,"partizip, werden, indikativ, prasens, sein",,
41006014b,had risen from the dead,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"past, participle",le,"partizip, werden, sein, indikativ, prasens",,
41006030,had done,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"past, participle",suo_de,"partizip, haben, prat, indikativ",,
41006052,had not understood,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,"past, participle",nullmarked,"sein, prat, partizip, indikativ",,
41007029,has gone out of,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"present, participle","yijing, le","partizip, sein, indikativ, prasens",,
41009009a,had seen,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"past, participle",suo_de,"partizip, prat, haben, indikativ",,
41009009b,had risen from the dead,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"past, participle",nullmarked,"konj2, sein, partizip, prat",,
41009013a,has come,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"present, participle","yijing, le","sein, partizip, indikativ, prasens",,
41009013b,have done,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"present, participle",nullmarked,"prat, indikativ",,
41009021,has been going on,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,"present, progressive","le, compound","partizip, sein, indikativ, prasens",,
41009034,had had an argument,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"past, participle",nullmarked,"haben, prat, partizip, indikativ",,
41010009,has joined together,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",suo_de,"partizip, haben, indikativ, prasens",,
41010020,have observed,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"present, participle",le,"partizip, haben, indikativ, prasens",,
41010028a,have left,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle","yijing, le","partizip, haben, indikativ, prasens",,
41010028b,(have) followed,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,"present, participle",le,"sein, partizip, indikativ, prasens",,
41010029,has left (house),0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle",le,"partizip, haben, indikativ, prasens",,
41010040,has been prepared,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,"present, participle",nullmarked,"sein, werden, partizip, indikativ, prasens",,
41010052,has made whole,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"present, participle",le,"haben, partizip, indikativ, prasens",,
41011002,has sat on,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,"present, participle",guo,"haben, partizip, indikativ, prasens",,
41011017,have made (it a den of robbers),0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"present, participle","le, compound","haben, partizip, indikativ, prasens",,
41012010,have not read,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,"present, participle",guo,"haben, partizip, indikativ, prasens",,
41013019,has (ever) been [tribulation],1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,"present, participle",guo,"sein, partizip, indikativ, prasens",,
41013023,have told,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle","yijing, le","partizip, haben, indikativ, prasens",,
41014005a,might have been sold,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,"might, participle",n_a,"koennen, haben, konj2, prat",,
41014005b,could have been given,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,"could, participle",n_a,"haben, koennen, konj2, prat",,
41014009,has done,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"present, participle",suo_de,"partizip, haben, indikativ, prasens",,
41014021a,would have been better,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,"would, participle",nullmarked,"konj2, sein, prat",,
41014021b,had not been born,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,1,0,"past, participle",nullmarked,"konj2, sein, partizip, prat",,
41014023,had given praise,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,"past, participle",le,n_a,,
41014041,has come,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,"present, participle",le,"sein, partizip, indikativ, prasens",,
41014064,have heard,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"present, participle","le, compound","haben, partizip, indikativ, prasens",,Ambiguous: EXP and RES (see P2 notes)
41015014,has done (evil),1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,"present, participle, past",le,"haben, partizip, indikativ, prasens",,
41015034,have foresaken,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,"present, participle",nullmarked,"partizip, haben, indikativ, prasens",,
41015046,had been cut,0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,"past, participle",nullmarked,"sein, partizip, prat, indikativ",,
41016002,had risen,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"past, participle",nullmarked,"sein, partizip, prat, indikativ",,
41016006a,has been impaled,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,"present, participle",nullmarked,n_a,,
41016006b,has risen,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,"present, participle","yijing, le","sein, partizip, indikativ, prasens",,
41016008,had come on,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,"past, participle",nullmarked,"haben, partizip, prat, indikativ",,
41016010,had been (with),0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,"past, participle",nullmarked,"sein, partizip, indikativ, prat",,
41016011,had seen,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,"past, participle","le, compound","sein, werden, partizip, konj1, prasens",,
